Acetic acid,C2H4O2
Scandium difluoride,F2Sc
Selenium difluoride,F2Se
Difluorosilylene,F2Si
Tin difluoride,F2Sn
Strontium fluoride,F2Sr
Thorium difluoride,F2Th
Titanium difluoride,F2Ti
Dithallium difluoride,F2Tl2
Tungsten difluoride,F2W
Xenon difluoride,F2Xe
Yttrium difluoride,F2Y
Zinc difluoride,F2Zn
Zirconium fluoride,F2Zr
Iron trifluoride,F3Fe
Gallium trifluoride,F3Ga
Gadolinium trifluoride,F3Gd
Holmium trifluoride,F3Ho
Lanthanum trifluoride,F3La
Trilithium trifluoride,F3Li3
Lutetium trifluoride,F3Lu
Manganese trifluoride,F3Mn
Molybdenum trifluoride,F3Mo
Molybdenum trifluoride oxide,F3MoO
Molybdenum trifluoride sulfide,F3MoS
Nitrogen trifluoride,F3N
Nitrogen trifluoride oxide,F3NO
Difluoroaminosulfonyl fluoride,F3NO2S
Difluoraminooxysulfonyl fluoride,F3NO3S
Thiazyl trifluoride,F3NS
Sodium trifluorostannate,F3NaSn
Neodymium trifluoride,F3Nd
Phosphoryl fluoride,F3OP
Tantalum monoxide trifluoride,F3OTa
Vanadium trifluoride oxide,F3OV
Phosphorus trifluoride,F3P
Thiophosphoryl fluoride,F3PS
Praseodymium trifluoride,F3Pr
Plutonium trifluoride,F3Pu
Rhodium fluoride,F3Rh
Sulfur trifluoride,F3S
Tungsten trifluoride monosulfide,F3SW
Antimony trifluoride,F3Sb
Scandium fluoride,F3Sc
Trifluorosilyl radical,F3Si
Samarium trifluoride,F3Sm
Terbium trifluoride,F3Tb
Thorium trifluoride,F3Th
Titanium trifluoride,F3Ti
Thallium trifluoride,F3Tl
Thulium trifluoride,F3Tm
Tungsten trifluoride,F3W
Yttrium trifluoride,F3Y
Ytterbium trifluoride,F3Yb
Zirconium trifluoride,F3Zr
Germanium tetrafluoride,F4Ge
Digermanium tetrafluoride,F4Ge2
Hafnium fluoride,F4Hf
Dimagnesium tetrafluoride,F4Mg2
Magnesium fluoride,F4Mg2
Molybdenum tetrafluoride,F4Mo
Molybdenum tetrafluoride oxide,F4MoO
Molybdenum tetrafluoride monosulfide,F4MoS
Tetrafluorohydrazine,F4N2
Disodium tetrafluorostannate,F4Na2Sn
Osmium oxide tetrafluoride,F4OOs
Diphosphorus tetrafluoride oxide,F4OP2
Rhenium tetrafluoride oxide,F4ORe
Sulfur tetrafluoride oxide,F4OS
Tungsten tetrafluoride oxide,F4OW
Xenon tetrafluoride oxide,F4OXe
Diphosphorus tetrafluoride,F4P2
Lead tetrafluoride,F4Pb
Platinum tetrafluoride,F4Pt
Plutonium tetrafluoride,F4Pu
Sulfur tetrafluoride,F4S
Tungsten tetrafluoride monosulfide,F4SW
Selenium tetrafluoride,F4Se
Silicon tetrafluoride,F4Si
Ditin tetrafluoride,F4Sn2
Titanium fluoride,F4Ti
Uranium tetrafluoride,F4U
Tungsten tetrafluoride,F4W
Xenon tetrafluoride,F4Xe
Zirconium tetrafluoride,F4Zr
Iodine pentafluoride,F5I
Molybdenum pentafluoride,F5Mo
Rhenium monoxide pentafluoride,F5ORe
Phosphorus pentafluoride,F5P
Plutonium pentafluoride,F5Pu
Disulfur decafluoride,F5S
Antimony pentafluoride,F5Sb
Tantalum pentafluoride,F5Ta
Uranium pentafluoride,F5U
Tungsten pentafluoride,F5W
Diiron hexafluoride,F6Fe2
Lanthanum trifluoride dimer,F6La2
Molybdenum hexafluoride,F6Mo
Nitridotriphosphorous hexafluoride,F6NP3
Osmium hexafluoride,F6Os
Plutonium hexafluoride,F6Pu
Rhenium hexafluoride,F6Re
Sulfur hexafluoride,F6S
Selenium hexafluoride,F6Se
Hexafluorodisilane,F6Si2
Tritin hexafluoride,F6Sn3
Tellurium hexafluoride,F6Te
Uranium hexafluoride,F6U
Tungsten hexafluoride,F6W
Xenon hexafluoride,F6Xe
Iodine fluoride,F7I
Pentafluorosulfanyldifluoroamine,F7NS
Rhenium heptafluoride,F7Re
Octafluorotrisilane,F8Si3
Molybdenum fluoride,F10Mo2
Sulfur fluoride,F10S2
Molybdenum fluoride,F15Mo3
Iron arsenic sulfide,FeAsS
Iron(II) bromide,2-Feb
Iron(III) bromide,3-Feb
Iron(III) bromide hexahydrate,FeBr3 Â· 6H2O
Siderite,FeCO3
Iron oxalate,FeC2O4
Iron pentacarbonyl,FeC5O5
Ferrocene,FeC10H10
Iron(II) chloride,FeCl2
Iron(III) chloride,FeCl3
Chromite (ore),FeCr2O4
Iron(II) fluoride tetrahydrate,FeF2 Â· 4H2O
Iron monoiodide,FeI
Iron(II) iodide,FeI2
Iron(II) iodide tetrahydrate,FeI2 Â· 4H2O
Iron(III) iodide,FeI3
Iron(II) orthomolybdate,FeMoO4
Iron(II) oxide,FeO
Iron dioxide,FeO2
Goethite,FeO2H
Limonite,FeO2H Â· nH2O
Iron(II) hydroxide,Fe(OH)2
Iron(III) hydroxide,Fe(OH)3
Ferrous sulfate,FeO4S
Iron(II) dihydrogen phosphate,FeO8H4P2
Iron(III) phosphide,FeP
Iron(II) sulfide,FeS
Iron(IV) sulfide,FeS2
Iron(II) selenide,FeSe
Iron(II) telluride,FeTe
Iron(II) metatitanate,FeTiO3
Iron(III) orthovanadate,FeVO4
Iron(II) orthotungstate,FeWO4
Iron(II) metazirconate,FeZrO3
Diiron diiodide,Fe2I2
Diiron tetraiodide,Fe2I4
Iron(III) oxide,Fe2O3
Venetian red,Fe2O3
Iron(III) sulfate,Fe2O12S3
Iron(III) orthotungstate,Fe2O12W3
Diiron phosphide,Fe2P
Fayalite,Fe2SiO4
Chrysotile,Fe3H2Na2O45Si
Iron(tri) phosphide,Fe3P
Amosite,Fe7Si8O24H2
Gallium(III) arsenide,GaAs
Gallium(III) orthoarsenate,GaAsO4
Gallium(III) bromide,GaBr3
Gallium(III) acetate,Ga(C2H3O2)3
Gallium(II) chloride,GaCl2
Gallium trichloride,GaCl3
Gallium(II) iodide,GaI2
Gallium(III) iodide,GaI3
Gallium(III) nitride,GaN
Gallium(III) hydroxide,Ga(OH)3
Gallium(III) orthophosphate,GaPO4
Gallium(III) antimonide,GaSb
Gallium(II) telluride,GaTe
Gallium(III) oxide,Ga2O3
Gallium(III) sulfate octadecahydrate,Ga2(SO4)3Â·18H2O
Gallium(III) sulfide,Ga2S3
Gallium(III) telluride,Ga2Te3
Germanium(IV) bromide,GeBr4
2-germaacetic acid,GeH3COOH
Germanium(II) iodide,GeI2
Germanium(IV) iodide,GeI4
Germanium(II) oxide,GeO
Hydrogen astatide,HAt
Hydrogen bromide,HBr
Bromous acid,HBrO2
Bromic acid,HBrO3
Acetylene,HCCH
Hydrocyanic acid,HCN
Formamide,HCONH2
Formate ion,HCOO-
Formic acid,HCOOH
Ammonium formate,HCOONH4
Hydrogen carbonate ion,HCO3-
Lactic acid,HC3H5O3
Pyridinium ion,HC5H5N+
Ascorbic acid,HC6H7O6
Acetylsalicylic acid,HC9H7O4
Thiamine hydrochloride,HC12H17ON4SCl2
Hydrochloric acid,HCl
Hypochlorous acid,HClO
Chlorous acid,HClO2
Chloric acid,HClO3
Perchloric acid,HClO4
Semiheavy water,HDO
Hydrofluoric acid,HF
Hydroiodic acid,HI
Hypoiodous acid,HIO
Iodic acid,HIO3
Nitroxyl,HNO
Nitrous acid,HNO2
Nitric acid,HNO3
Hydrazoic acid,HN3
Hypobromous acid,HOBr
Hypochlorous acid,HOCl
Hypofluorous acid,HOF
Oxalic acid,HOOCCOOH
Hydrogen phosphate ion,HPO42-
Hydrogen sulfite ion,HSO3-
Hydrogen sulfate,HSO4-
Partially tritiated water,HTO
Hydrogen,H2
Acrylonitrile,H2C(CH)CN
Formaldehyde,H2CO
Carbonic acid,H2CO3
Sulfine,H2CSO
Oxalic acid,H2C2O4
Tartaric acid,H2C4H4O6
Phthalic acid,H2C8H4O4
,H2Ph
Chromic acid,H2CrO4
Glycine,H2NCH2COOH
Hyponitrous acid,H2N2O2
Hydrazine,H2NNH2
Water,H2O
Hydrogen peroxide,H2O2
Dihydrogen phosphate ion,H2PO4-
Hydrogen sulfide,H2S
Sulfurous acid,H2SO3
Sulfuric acid,H2SO4
Thiosulfurous acid,H2S2O2
Thiosulfuric acid,H2S2O3
Dithionous acid,H2S2O4
Disulfurous acid,H2S2O5
Dithionic acid,H2S2O6
Disulfuric acid,H2S2O7
Peroxydisulfuric acid,H2S2O8
Selenous acid,H2SeO3
Selenic acid,H2SeO4
Silicic acid,H2SiO3
Tellurous acid,H2TeO3
Titanic acid,H2TiO3
Arsenic acid,H3AsO4
Propane,H3CCH2CH3
Zwitterion,H3N+CH2COO-
Hydronium ion,H3O+
Hypophosphorous acid,H3PO2
Phosphorous acid,H3PO3
Phosphoric acid,H3PO4
Perxenic acid,H4XeO6
Telluric acid,H6TeO6
Hafnium(IV) bromide,HfBr4
Hafnium(IV) fluoride,HfF4
Hafnium(IV) oxychloride octahydrate,HfOCl2 Â· 8H2O
Hafnium(IV) sulfate,Hf(SO4)2
Mercury(II) bromate dihydrate,Hg(BrO3)2 Â· 2H2O
Mercury(I) bromide,Hg2Br2
Mercury(II) bromide,HgBr2
Mercury(II) acetate,Hg(C2H3O2)2
Mercury(II) benzoate monohydrate,Hg(C7H5O2)2 Â· H2O
Mercury(I) perchlorate tetrahydrate,HgClO4 Â· 4H2O
Mercury(II) perchlorate trihydrate,Hg(ClO4)2 Â· 3H2O
Mercury(II) chloride,HgCl2
Mercury(II) iodate,Hg(IO3)2
Mercury(II) iodide,HgI2
Mercury(II) nitrate monohydrate,Hg(NO3)2 Â· H2O
Mercury(II) fulminate,Hg(CNO)2
Mercury(II) oxide,HgO
Mercury(II) hydroxide,Hg(OH)2
Mercury(II) sulfide,HgS
Mercury(II) thiocyanate,Hg(SCN)2
Mercury(II) selenide,HgSe
Mercury(II) selenite,HgSeO3
Mercury(II) telluride,HgTe
Mercury(II) tellurite,HgTeO3
Mercury(II) tungstate,HgWO4
Mercury(I) bromide,Hg2Br2
Mercury(I) chloride,Hg2Cl2
Mercury(I) iodide,Hg2I2
Mercury(II) orthoarsenate,Hg3(AsO4)2
Mercury(II) phosphate,Hg3(PO4)2
Iodine(I) bromide,IBr
Iodine(III) bromide,IBr3
Iodine monochloride,ICl
Iodine(III) chloride,ICl3
Iodate ion,IO3-
Iodine,I2
Iodine pentoxide,I2O5
Triiodide ion,I3-
Indium(III) arsenide,InAs
Indium(I) bromide,InBr
Indium(III) bromodiiodide,InBrI2
Indium(III) dibromoiodide,InBr2I
Indium(III) bromide,InBr3
Indium(I) chloride,InCl
Indium(II) chloride,InCl2
Indium(III) chloride,InCl3
Indium(III) chloride tetrahydrate,InCl3Â·4H2O
Indium(I) iodide,InI
Indium(III) iodate,In(IO3)3
Indium(II) iodide,InI2
Indium(III) iodide,InI3
Indium(III) nitrate tetrahemihydrate,In(NO3)3Â·4.5H2O
Indium(III) hydroxide,In(OH)3
Indium(III) phosphide,InP
Indium(III) orthophosphate,InPO4
Indium(II) sulfide,InS
Indium(III) antimonide,InSb
Indium(II) telluride,InTe
Indium(III) oxide,In2O3
Indium(III) sulfate monohydrate,In2(SO4)3Â·H2O
Indium(III) sulfide,In2S3
Indium(III) selenide,In2Se3
Indium(III) telluride,In2Te3
Potassium bromide,KBr
Potassium cyanide,KCN
Potassium thiocyanate,KCNS
Potassium chloride,KCl
Potassium hypochlorite,KClO
Potassium chlorite,KClO2
Potassium chlorate,KClO3
Potassium perchlorate,KClO4
Potassium chromate,K2CrO4
Potassium dichromate,K2Cr2O7
Dipotassium phosphate,K2HPO4
Tripotassium phosphate,K3PO4
Potassium fluoride,KF
Potassium bicarbonate,KHCO3
Potassium bisulfite,KHSO3
Potassium bisulfate,KHSO4
Monopotassium phosphate,KH2PO4
Potassium iodide,KI
Potassium permanganate,KMnO4
Potassium nitrate,KNO3
Potassium nitrite,KNO2
Potassium carbonate,K2CO3
Potassium manganate,K2MnO4
Potassium hyponitrite,K2N2O2
Potassium oxide,K2O
Potassium peroxide,K2O2
Potassium sulfide,K2S
Potassium thiosulfate,K2S2O3
Potassium metabisulfite,K2S2O5
Potassium persulfate,K2S2O8
Potassium sulfite,K2SO3
Potassium sulfate,K2SO4
Potassium hydroxide/custic potash,KOH
Krypton difluoride,KrF2
Lanthanum(III) chloride,LaCl3
Lanthanum(III) phosphate,LaPO4
Lanthanum(III) phosphate crystal hemihydrate,LaPO4Â·0.5H2O
Keatite,Li(AlSi2O6)
Lithium bromide,LiBr
Lithium bromide dihydrate,LiBrÂ·2H2O
Lithium bromate,LiBrO3
Lithium chloride,LiCl
Lithium hypochlorite,LiClO
Lithium chlorite,LiClO2
Lithium chlorate,LiClO3
Lithium perchlorate,LiClO4
Lithium cyanide,LiCN
Lithium ethoxide,LiC2H5O
Lithium fluoride,LiF
Lithium iodide,LiI
Lithium bicarbonate,LiHCO3
Lithium bisulfite,LiHSO3
Lithium hydrogen sulfate,LiHSO4
Lithium iodate,LiIO3
Sodium lithium,LiNa
Lithium nitrite,LiNO2
Lithium nitrate,LiNO3
Lithium nitrate monohydrate,LiNO3Â·H2O
Lithium hydroxide,LiOH
Lithium tantalate,LiTaO3
Lithium metavanadate dihydrate,LiVO3Â·2H2O
Lithium tetraborate pentahydrate,Li2B4O7Â·5H2O
Lithium carbonate,Li2CO3
Lithium chromate,Li2CrO4
Lithium chromate dihydrate,Li2CrO4Â·2H2O
Lithium dichromate,Li2Cr2O7
Lithium orthomolybdate,Li2MoO4
Lithium metaniobate,Li2NbO3
Lithium hyponitrite,Li2N2O2
Lithium oxide,Li2O
Lithium peroxide,Li2O2
Lithium sulfide,Li2S
Lithium sulfite,Li2SO3
Lithium sulfate,Li2SO4
Lithium selenite,Li2SeO3
Lithium selenate,Li2SeO4
Lithium metasilicate,Li2SiO3
Lithium tellurite,Li2TeO3
Lithium tellurate,Li2TeO4
Lithium metatitanate,Li2TiO3
Lithium orthotungstate,Li2WO4
Lithium metazirconate,Li2ZrO3
Magnesium bromide,MgBr2
Magnesium aluminate,Mg(AlO2)2
Magnesium arsenide,As2Mg3
Magnesium carbonate,MgCO3
Magnesium oxalate,MgC2O4
Magnesium hypochlorite,Mg(ClO)2
Magnesium chlorate,Mg(ClO3)2
Magnesium chlorate hydrate,Mg(ClO3)2Â·xH2O
Magnesium perchlorate,Mg(ClO4)2
Magnesium chloride,MgCl2
Magnesium chromate,MgCrO4
Magnesium chromate pentahydrate,MgCrO4Â·5H2O
Magnesium fluoride,MgF2
Magnesium iodide,MgI2
Magnesium molybdate,MgMoO4
Magnesium ammonium phosphate hexahydrate,MgNH4PO4Â·6H2O
Magnesium nitrite,Mg(NO2)2
Magnesium nitrate,Mg(NO3)2
Magnesium nitrate hexahydrate,Mg(NO3)2Â·6H2O
Montmorillonite (clay),MgNaAl5(Si4O10)3(OH)6
Magnesium oxide,MgO
Magnesium hydroxide,Mg(OH)2
Magnesium polonide,MgPo
Magnesium sulfide,MgS
Magnesium sulfite,MgSO3
Magnesium sulfate,MgSO4
Magnesium selenide,MgSe
Magnesium selenite,MgSeO3
Magnesium selenate,MgSeO4
Magnesium metasilicate,MgSiO3
Magnesium metatitanate,MgTiO3
Magnesium metavanadate,Mg(VO3)2
Magnesium tungstate,MgWO4
Amesite,Mg2Al(AlSiO5)(OH)4
Magnesium pyrophosphate,Mg2P2O7
Forsterite,Mg2SiO4
Magnesium arsenide,Mg3As2
Magnesium bismuthide,Mg3Bi2
Magnesium phosphide,Mg3P2
Chrysotile,Mg3(Si2O5)(OH)4
Talc,Mg3(Si4O10)(OH)2
Magnesium orthovanadate,Mg3(VO4)2
Manganese(III) arsenide,MnAs
Manganese(III) bismuthide,MnBi
Manganese(II) bromide,MnBr2
Manganese(II) bromide tetrahydrate,MnBr2Â·4H2O
Manganese(II) formate,Mn(CHO2)2
Manganese(II) formate dihydrate,Mn(CHO2)2Â·2H2O
Manganese(II) carbonate,MnCO3
Manganese(II) chloride,MnCl2
Manganese(II) fluoride,MnF2
Manganese(II) iodide,MnI2
Manganese(II) orthomolybdate,MnMoO4
Manganese(II) nitrate,Mn(NO3)2
Manganese(II) nitrate tetrahydrate,Mn(NO3)2Â·4H2O
Manganese(II) oxide,MnO
Manganese hydroxide,Mn(OH)2
Manganite,MnOOH
Manganese dioxide,MnO2
Permanganate ion,MnO4-
Barysilate,MnPb8(Si2O7)3
Manganese sulfide,MnS
Manganese(II) telluride,MnTe
Manganese(II) metazirconate,MnZrO3
Manganese(III) oxide,Mn2O3
Manganese(II) arsenide,Mn3As2
Manganese(II) phosphide,Mn3P2
Manganese(II) antimonide,Mn3Sb2
Molybdenum(II) bromide,MoBr2
Molybdenum(III) bromide,MoBr3
Molybdenum(II) chloride,MoCl2
Molybdenum(III) chloride,MoCl3
Molybdenum(V) chloride,MoCl5
Molybdenum(IV) oxide,MoO2
Molybdate ion,MoO42-
Molybdenum sulfide,MoS2
Amide ion,NH2-
Ethylenediamine,NH2CH2CH2NH2
Urea,NH2CONH2
Sulfanilic Acid,NH2C6H4SO3H
Hydroxylamine,NH2OH
Urea,(NH2)2CO
Ammonia,NH3
Ammonium ion,NH4+
Ammonium nitride,(NH4)3N
Ammonium bromide,NH4Br
Ammonium carbamate,NH4CO2NH2
Ammonium carbonate,(NH4)2CO3
Ammonium chloride,NH4Cl
Ammonium perchlorate,NH4ClO4
Ammonium hydrosulfide,NH4HS
Ammonium dihydrogen arsenate,(NH4)H2AsO4
Ammonium nitrate,NH4NO3
Ammonium carbamate,NH4OCONH2
Ammonium cerium(IV) nitrate,(NH4)2Ce(NO3)6
Ammonium phosphate,(NH4)3PO4
Ammonium chromate,(NH4)2CrO4
Mercury(II) ammonium thiocyanate,(NH4)2Hg(SCN)4
Ammonium hexachloroplatinate(IV),(NH4)2[PtCl6]
Ammonium hexathiocyanoplatinate(IV),(NH4)2[Pt(SCN)6]
Ammonium sulfate,(NH4)2SO4
Nitrogen triiodide,NI3
Nitric oxide,NO
Nitrosyl chloride,NOCl
Nitrosyl bromide,NOBr
Nitrosyl iodide,NOI
Nitrogen dioxide,NO2
Nitrite ion,NO2-
Nitryl chloride,NO2Cl
Nitrate ion,NO3-
Nitrogen,N2
Diazene,N2H2
Hydrazine,N2H4
Nitrous oxide,N2O
Dinitrogen trioxide,N2O3
Dinitrogen tetroxide,N2O4
Dinitrogen pentaoxide,N2O5
Trans-tetrazene,N4H4
Albite,NaAlSi3O3
Sodium metaarsenite,NaAsO2
Sodium dicyanoaurate(I),NaAu(CN)2
Sodium dichromate dihydrate,Na2Cr2O7 Â· 2H2O
Sodium tetranitratoborate(III),Na[B(NO3)4]
Sodium bromide,NaBr
Sodium cyanide,NaCN
Pentafluorobenzoate,NaC6F5COO
Sodium benzoate,NaC6H5COO
Thomsonite,NaCa2(Al5Si5O20) Â· 6H2O
Sodium chloride,NaCl
Sodium chlorite,NaClO2
Sodium chlorate,NaClO3
Sodium perchlorate,NaClO4
Sodium fluoride,NaF
Sodium hydride,NaH
Sodium formate,NaHCOO
Sodium bicarbonate,NaHCO3
Sodium bisulfite,NaHSO3
Sodium bisulfate,NaHSO4
Sodium iodide,NaI
Sodium sulfanilate,NaNH2C6H4SO3
Sodium nitrite,NaNO2
Sodium nitrate,NaNO3
Sodium metaniobate,NaNbO3
Sodium metaniobate heptahydrate,NaNbO3 Â· 7H2O
Sodium hypochlorite,NaOCl
Sodium hydroxide,NaOH
Sodium salt of cacodylic acid,NaO2As(CH3)2 Â· 3H2O
Sodium selenite,NaSeO3
Sodium metatantalate,NaTaO3
Sodium metavanadate,NaVO3
Sodium carbonate,Na2CO3
Sodium oxalate,Na2C2O4
Sodium thiomolybdate,Na2MoS4
Sodium hyponitrite,Na2N2O2
Sodium peroxide,Na2O2
Sodium oxide,Na2O
Sodium monosulfide,Na2S
Sodium sulfite,Na2SO3
Sodium sulfate,Na2SO4
Sodium thiosulfate,Na2S2O3
Sodium disulfite,Na2S2O5
Sodium persulfate,Na2S2O8
Sodium tetrasulfide,Na2S4
Sodium selenite,Na2SeO3
Sodium selenate,Na2SeO4
Sodium tellurite,Na2TeO3
Sodium tellurate,Na2TeO4
Sodium metatitanate,Na2TiO3
Sodium zincate,Na2ZnO2
Sodium metazirconate,Na2ZrO3
Cryolite,Na3AlF6
Sodium tricarbonatocobaltate(III),Na3[Co(CO3)3]
Sodium orthovanadate,Na3VO4
Sodium pyrovanadate,Na4V2O7
Niobium(V) bromide,NbBr5
Niobium(III) chloride,NbCl3
Niobium(V) chloride,NbCl5
Niobium(V) iodide,NbI5
Niobium(III) oxide,Nb2O3
Neodymium(II) chloride,NdCl2
Neodymium(III) iodide,NdI2
Neodymium hydroxide,Nd(OH)3
Neodymium(III) oxide,Nd2O3
Nickel(III) arsenide,NiAs
Nickel arsenic sulfide,NiAsS
Nickel(II) bromide,NiBr2
Nickel(II) bromide trihydrate,NiBr2 Â· 3H2O
Nickel(II) bromide hexahydrate,NiBr2 Â· 6H2O
Nickel(II) carbonate,Ni(CO)3
Nickel tetracarbonyl,Ni(CO)4
Nickel(II) oxalate dihydrate,NiC2O4 Â· 2H2O
Nickel(II) chloride,NiCl2
Nickel(II) iron(III) oxide,NiFe2O4
Nickel(II) iodide,NiI2
Nickel(II) hypophosphite hexahydrate,Ni(H2PO)2 Â· 6H2O
Nickel(II) orthomolybdate,NiMoO4
Nickel(II) nitrate hexahydrate,Ni(NO3)2 Â· 6H2O
Nickel oxo-hydroxide,NiOOH
Nickel(II) oxide,NiO
Nickel(II) hydroxide,Ni(OH)2
Nickel(II) sulfide,NiS
Nickel sulfate,NiSO4
Nickel sulfide,NiS2
Nickel(II) selenide,NiSe
Nickel(II) metatitanate,NiTiO3
Nickel(II) metavanadate,Ni(VO3)2
Nickel(II) orthotungstate,NiWO4
Nickel(II) orthosilicate,Ni2SiO4
Nickel(II) orthophosphate,Ni3(PO4)2
Nickel(II) antimonide,Ni3Sb2
Oxygen,O
Dioxygen,O2
Superoxide ion,O2-
Peroxide ion,O22-
Oxygen difluoride,OF2
Dioxygen difluoride,O2F2
Hydroxide ion,OH-
Ozone,O3
Ozonide ion,O3-
Diphosphorus tetraiodide,P2I4
Phosphorus pentoxide,P2O5
Diphosphorus trisulfide,P2S3
Diphosphorus triselenide,P2Se3
Triphosphorus pentanitride,P3N5
Phosphine,PH3
Phosphoryl chloride,POCl3
Lead(II) chloride,PbCl2
Lead(IV) chloride,PbCl4
Lead(II) iodide,PbI2
Lead(II) iodate,Pb(IO3)2
Lead(II) nitride,Pb(N3)2
Lead(II) nitrate,Pb(NO3)2
Lead(II) hydroxide,Pb(OH)2
Lead(IV) hydroxide,Pb(OH)4
Lead oxalate,PbC2O4
Lead carbonate,PbCO3
Lead chromate,PbCrO4
Lead(II) fluoride,PbF2
Lead(II) oxide,PbO
Lead dioxide,PbO2
Lead(II) sulfide,PbS
Lead(II) sulfate,PbSO4
Polonium dibromide,PoBr2
Polonium dichloride,PoCl2
Polonium tetrachloride,PoCl4
Polonium hexafluoride,PoF6
Polonium hydride,PoH2
Polonium monoxide,PoO
Polonium dioxide,PoO2
Polonium trioxide,PoO3
Radium chloride,RaCl2
Rubidium bromide,RbBr
Rubidium chloride,RbCl
Rubidium hypochlorite,RbClO
Rubidium chlorite,RbClO2
Rubidium chlorate,RbClO3
Rubidium perchlorate,RbClO4
Rubidium cyanide,RbCN
Rubidium fluoride,RbF
Rubidium iodide,RbI
Rubidium hydroxide,RbOH
Rubidium oxide,Rb2O
Rubidium peroxide,Rb2O2
Rubidium carbonate,Rb2CO3
Rubidium sulfite,Rb2SO3
Rubidium sulfate,Rb2SO4
Rubidium bicarbonate,RbHCO3
Rubidium bisulfite,RbHSO3
Rubidium bisulfate,RbHSO4
Rubidium nitrite,RbNO2
Rubidium nitrate,RbNO3
Radon difluoride,RnF2
Ruthenium(III) chloride,RuCl3
Ruthenium hexafluoride,RuF6
Ruthenium tetroxide,RuO4
Thiocyanate,SCN-
Sulfur tetrafluoride,SF4
Sulfur hexafluoride,SF6
Thionyl difluoride,SOF2
Sulfur dioxide,SO2
Sulfuryl chloride,SO2Cl2
Sulfuryl difluoride,SO2F2
Peroxymonosulfurous acid (aqueous),SO2OOH-
Sulfur trioxide,SO3
Sulfite ion,SO32-
Sulfate ion,SO42-
Sulfur(II) bromide,S2Br2
Thiosulfate ion,S2O32-
Disulfate ion,S2O72-
Antimony(III) bromide,SbBr3
Antimony(III) chloride,SbCl3
Antimony(V) chloride,SbCl5
Antimony(III) iodide,SbI3
Antimony(III) phosphate,SbPO4
Antimony oxysulfide,Sb2OS2
Antimony(III) oxide,Sb2O3
Antimony(V) oxide,Sb2O5
Antimony(III) sulfide,Sb2S3
Antimony(III) selenide,Sb2Se3
Antimony(V) selenide,Sb2Se5
Antimony(III) telluride,Sb2Te3
Scandium oxide,Sc2O3
Selenium(IV) bromide,SeBr4
Selenium(I) chloride,SeCl
Selenium(IV) chloride,SeCl4
Selenium(IV) oxychloride,SeOCl2
Selenyl difluoride,SeOF2
Selenium(IV) oxide,SeO2
Selenate ion,SeO42-
Selenium(IV) telluride,SeTe
Silicon(IV) bromide,SiBr4
Silicon carbide,SiC
Silicon(IV) chloride,SiCl4
Silane,SiH4
Silicon(IV) iodide,SiI4
Silicon(IV) dioxide,SiO2
Silicate ion,SiO44-
Disilicate ion,Si2O76-
Silicon nitride,Si3N4
Cyclosilicate ion,Si6O1812-
Tin(IV) bromotrichloride,SnBrCl3
Tin(II) bromide,SnBr2
Tin(IV) dibromodichloride,SnBr2Cl2
Tin(IV) tribromochloride,SnBr3Cl
Tin(IV) bromide,SnBr4
Tin(II) acetate,Sn(CH3COO)2
Tin(IV) acetate,Sn(CH3COO)4
Tin(II) chloride,SnCl2
Tin(IV) dichlorodiiodide,SnCl2I2
Tin(IV) chloride,SnCl4
Tin(IV) chromate,Sn(CrO4)2
Tin(IV) iodide,SnI4
Tin(II) hydroxide,Sn(OH)2
Tin(IV) hydroxide,Sn(OH)4
Tin(II) oxide,SnO
Tin(IV) oxide,SnO2
Stannate ion,SnO32-
Tin(II) sulfide,SnS
Tin(IV) sulfide,SnS2
Tin(IV) sulfate dihydrate,Sn(SO4)2Â·2H2O
Tin(II) selenide,SnSe
Tin(IV) selenide,SnSe2
Tin(II) telluride,SnTe
Tin(IV) telluride,SnTe4
Tin(II) metavanadate,Sn(VO3)2
Tin(IV) antimonide,Sn3Sb4
Strontium bromide,SrBr2
Strontium bromide hexahydrate,SrBr2Â·6H2O
Strontium carbonate,SrCO3
Strontium chloride,SrCl2
Strontium oxalate,SrC2O4
Strontium fluoride,SrF2
Strontium iodide,SrI2
Strontium iodide hexahydrate,SrI2Â·6H2O
Strontium permanganate,Sr(MnO4)2
Strontium orthomolybdate,SrMoO4
Strontium metaniobate,Sr(NbO3)2
Strontium oxide,SrO
Strontium ruthenate,Sr2RuO4
Strontium sulfide,SrS
Strontium selenite,SrSeO3
Strontium selenate,SrSeO4
Strontium tellurite,SrTeO3
Strontium tellurate,SrTeO4
Strontium metatitanate,SrTiO3
Tritium oxide,T2O
Tantalum(III) bromide,TaBr3
Tantalum(V) bromide,TaBr5
Tantalum(V) chloride,TaCl5
Tantalum(V) iodide,TaI5
Tantalate ion,TaO3-
Pertechnetate ion,TcO4-
Tellurium(II) bromide,TeBr2
Tellurium(IV) bromide,TeBr4
Tellurium(II) chloride,TeCl2
Tellurium(IV) chloride,TeCl4
Tellurium(II) iodide,TeI2
Tellurium(IV) iodide,TeI4
Tellurium(IV) oxide,TeO2
Tellurate ion,TeO4-
Yttrium telluride,TeY
Thorium carbonate,Th(CO3)2
Thorium nitrate,Th(NO3)4
Titanium(IV) bromide,TiBr4
Titanium(IV) dichlorodiiodide,TiCl2I2
Titanium(IV) trichloroiodide,TiCl3I
